user	youtube	naver	daum	naverwebtoon	daumwebtoon	google	11st	gmarket	steam	kakaotalk	instagram	facebook
user1	27.3	2.4	27.3	7.2	27.3	27.3	7.2	27.3	27.3	27.3	10.1	6.3
user2	34.8	3.6	34.8	8.4	34.8	34.8	8.4	34.8	34.8	34.8	7.8	4.8
user3	12.1	4.8	12.1	3.2	12.1	12.1	3.2	12.1	12.1	12.1	2.1	10.1
user4	14.5	2.1	14.5	4.6	14.5	14.5	4.6	14.5	14.5	14.5	14.5	14.5
user5	6.9	3.5	6.9	9	6.9	6.9	9	6.9	6.9	6.9	6.9	6.9
user6	42.3	1.1	42.3	17.2	42.3	42.3	17.2	42.3	42.3	42.3	42.3	42.3
user7	33.9	0.9	33.9	16.5	33.9	33.9	16.5	33.9	33.9	33.9	33.9	33.9
user8	25.5	7.6	25.5	9.8	25.5	25.5	9.8	25.5	25.5	25.5	25.5	25.5
user9	17.1	2.1	17.1	7.8	17.1	17.1	7.8	17.1	17.1	17.1	17.1	17.1
user10	18.9	3.2	18.9	14.3	18.9	18.9	14.3	18.9	18.9	18.9	18.9	18.9
user11	8.6	4.2	8.6	4.8	8.6	8.6	4.8	8.6	8.6	8.6	8.6	8.6
user12	32.4	5.4	32.4	5.4	32.4	32.4	5.4	32.4	32.4	32.4	32.4	32.4
user13	56.2	6.7	56.2	9	56.2	56.2	9	56.2	56.2	56.2	56.2	56.2
user14	27.3	8.5	27.3	10.1	27.3	27.3	10.1	27.3	27.3	27.3	27.3	27.3
user15	17.2	2.1	17.2	12.1	17.2	17.2	12.1	17.2	17.2	17.2	12.4	16.1
user16	27.3	6.5	27.3	6.5	27.3	27.3	6.5	27.3	27.3	27.3	24.1	17.2
